
,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Scoring,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,21.051,DAL,,NYG,L 19-20,*,20,51,2.55,1,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,62%,0,0%,0,0%,
2,2016,2016-09-18,2,2,21.058,DAL,@,WAS,W 27-23,*,21,83,3.95,1,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,2,1,0,0,0,0,43,63%,0,0%,0,0%,
3,2016,2016-09-25,3,3,21.065,DAL,,CHI,W 31-17,*,30,140,4.67,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,75%,0,0%,1,4%,
4,2016,2016-10-02,4,4,21.072,DAL,@,SFO,W 24-17,*,23,138,6.00,1,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,47,62%,0,0%,0,0%,
5,2016,2016-10-09,5,5,21.079,DAL,,CIN,W 28-14,*,15,134,8.93,2,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,79%,0,0%,2,9%,
6,2016,2016-10-16,6,6,21.086,DAL,@,GNB,W 30-16,*,28,157,5.61,0,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,91%,0,0%,1,4%,
7,2016,2016-10-30,7,8,21.100,DAL,,PHI,W 29-23,*,22,96,4.36,0,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,83%,0,0%,0,0%,
8,2016,2016-11-06,8,9,21.107,DAL,@,CLE,W 35-10,*,18,92,5.11,2,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,1,0,0,1,0,0,44,60%,0,0%,0,0%,
9,2016,2016-11-13,9,10,21.114,DAL,@,PIT,W 35-30,*,21,114,5.43,2,2,2,95,47.50,1,100.0%,47.50,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,43,66%,0,0%,0,0%,
10,2016,2016-11-20,10,11,21.121,DAL,,BAL,W 27-17,*,25,97,3.88,0,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,70%,0,0%,0,0%,
11,2016,2016-11-24,11,12,21.125,DAL,,WAS,W 31-26,*,20,97,4.85,2,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,46,82%,0,0%,1,4%,
12,2016,2016-12-01,12,13,21.132,DAL,@,MIN,W 17-15,*,20,86,4.30,1,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,0,0,2,0,0,43,83%,0,0%,1,4%,
13,2016,2016-12-11,13,14,21.142,DAL,@,NYG,L 7-10,*,24,107,4.46,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,67%,0,0%,0,0%,
14,2016,2016-12-18,14,15,21.149,DAL,,TAM,W 26-20,*,23,159,6.91,1,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,1,0,0,0,-7,0,58,78%,0,0%,0,0%,
15,2016,2016-12-26,15,16,21.157,DAL,,DET,W 42-21,*,12,80,6.67,2,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,29,51%,0,0%,0,0%,
16,2016,2017-01-01,,17,,DAL,@,PHI,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2017,2017-09-10,1,1,22.050,DAL,,NYG,W 19-3,*,24,104,4.33,0,5,5,36,7.20,0,100.0%,7.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,81%,0,0%,0,0%,
18,2017,2017-09-17,2,2,22.057,DAL,@,DEN,L 17-42,*,9,8,0.89,0,5,4,14,3.50,0,80.0%,2.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,89%,0,0%,0,0%,
19,2017,2017-09-25,3,3,22.065,DAL,@,ARI,W 28-17,*,22,80,3.64,1,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,91%,0,0%,0,0%,
20,2017,2017-10-01,4,4,22.071,DAL,,LAR,L 30-35,*,21,85,4.05,1,5,4,54,13.50,1,80.0%,10.80,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,90%,0,0%,0,0%,
21,2017,2017-10-08,5,5,22.078,DAL,,GNB,L 31-35,*,29,116,4.00,0,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,86%,0,0%,0,0%,
22,2017,2017-10-22,6,7,22.092,DAL,@,SFO,W 40-10,*,26,147,5.65,2,3,1,72,72.00,1,33.3%,24.00,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,50,67%,0,0%,1,4%,
23,2017,2017-10-29,7,8,22.099,DAL,@,WAS,W 33-19,*,33,150,4.55,2,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,1,1,0,0,0,0,58,85%,0,0%,1,3%,
24,2017,2017-11-05,8,9,22.106,DAL,,KAN,W 28-17,*,27,93,3.44,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,93%,0,0%,0,0%,
25,2017,2017-11-12,,10,,DAL,@,ATL,L 7-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
26,2017,2017-11-19,,11,,DAL,,PHI,L 9-37,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
27,2017,2017-11-23,,12,,DAL,,LAC,L 6-28,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
